archivo,hoja,filas_fecha,datos_numericos_col_b,nulos_o_no_numericos_col_b,max_col_b,prom_col_b,conteo_col_b_ge_130,conteo_col_b_ge_50,codigos_col_b
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 E MP-10 CALDERA Enero 2026.xlsx,MP-10 Valida,744,10,734,47.0,20.9,0,0,
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 E MP-10 CALDERA Enero 2026.xlsx,MP-10 Inválida,744,0,744,,,0,0,
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 EM MINA Enero 2026.xlsx,Vel Data Valida,744,558,186,7.947,2.488,0,0,
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 EM MINA Enero 2026.xlsx,Vel Inválida,744,0,744,,,0,0,3.b:186
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 EM MINA Enero 2026.xlsx,Dir Data Valida,744,558,186,356.4,111.356,129,396,
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 EM MINA Enero 2026.xlsx,Dir Inválida,744,0,744,,,0,0,3.b:186
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 EM MINA Enero 2026.xlsx,Sig Data Valida,744,558,186,96.0,35.126,0,88,
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 EM MINA Enero 2026.xlsx,Sig Inválida,744,0,744,,,0,0,3.b:186
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 EM PUERTO Enero 2026.xlsx,Vel Data Valida,744,735,9,9.11,3.842,0,0,
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 EM PUERTO Enero 2026.xlsx,Vel Inválida,744,0,744,,,0,0,2.h:9
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 EM PUERTO Enero 2026.xlsx,Dir Data Valida,744,744,0,339.89,232.76,677,730,
antecedentes/Informes y reportes de cumplimiento ambiental asociados a calidad del aire y emisiones/Informes Trimestrales/2026/1T/Anexos/A 5.1 EM PUERTO Enero 2026.xlsx,Dir Inválida,744,0,744,,,0,0,
